Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100
AAVL,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock",G,N,N,100
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100
ABAC,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares",S,N,N,100
ABAX,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock",Q,N,N,100
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock,Q,N,N,100
ABCD,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock",S,N,N,100
ABCO,The Advisory Board Company,The Advisory Board Company - Common Stock,Q,N,N,100
ABCW,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock,Q,N,N,100
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock,Q,N,N,100
ABGB,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares",Q,N,N,100
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock",S,N,N,100
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock",Q,N,N,100
ABTL,Autobytel Inc.,Autobytel Inc. - Common Stock,S,N,N,100
ABY,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares,Q,N,N,100
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100
ACAS,"American Capital, Ltd.","American Capital, Ltd. - Common Stock",Q,N,N,100
ACAT,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock,Q,N,N,100
ACET,Aceto Corporation,Aceto Corporation - Common Stock,Q,N,N,100
ACFC,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock,G,N,N,100
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100
ADRA,BLDRS Asia 50 ADR Index Fund,BLDRS Asia 50 ADR Index Fund,G,N,N,100
ADRD,BLDRS Developed Markets 100 ADR Index Fund,BLDRS Developed Markets 100 ADR Index Fund,G,N,N,100
TSLA,"Tesla Motors, Inc.","Tesla Motors, Inc. - Common Stock",Q,N,N,100
USLM,"United States Lime & Minerals, Inc.","United States Lime & Minerals, Inc. - Common Stock",Q,N,N,100
USLV,Credit Suisse AG,Credit Suisse AG - VelocityShares 3x Long Silver ETN,G,N,N,100
VCSH,Vanguard Short,Vanguard Short-Term Corporate Bond ETF,G,N,N,100
